,gdp_billions,unemployment_rate_pct,lfpr_pct,avg_hourly_earnings_nominal,avg_hourly_earnings_real,job_openings_thousands,total_nonfarm_employment,civilian_labor_force_thousands,wage_p10,wage_p50,wage_p90,fed_tax_revenue_pct_gdp,wage_growth_yoy,labor_market_tightness,gini_coefficient,avg_federal_tax_rate_pct,redist_eitc,redist_snap,redist_medicaid,redist_ui,workers_affected,days_idle,civil_unrest_events,protest_intensity_score
1978-12-31,5.5,5.8999999999999995,63.46666666666667,,6.256666666666667,,88339.33333333333,103483.66666666667,,,,767.107,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,11.62,1006.0,23774.0,14.0,0.5000048606704439
1979-03-31,0.7,5.866666666666667,63.73333333333333,,6.403333333333333,,89114.0,104382.66666666667,,,,776.403,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,11.784,1021.0,20409.0,7.0,0.5000048906587301
1979-06-30,0.4,5.7,63.43333333333334,,6.503333333333333,,89771.33333333333,104327.0,,,,799.709,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,11.784,1021.0,20409.0,7.0,0.5000048932682815
1979-09-30,3.0,5.866666666666667,63.666666666666664,,6.63,,90281.33333333333,105209.33333333333,,,,829.638,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,11.784,1021.0,20409.0,7.0,0.5000048522311075
1979-12-31,1.0,5.966666666666666,63.76666666666667,,6.75,,90575.33333333333,105923.33333333333,,,,851.735,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,11.784,1021.0,20409.0,7.0,0.5000048195235548
1980-03-31,1.3,6.3,63.9,,6.883333333333333,,90892.33333333333,106567.0,,,,892.894,,,0.38825728809446775,15.31,33.004839999999994,11.3270795,392.28125,20.41,795.0,20844.0,0.0,0.5000037300477633
1980-06-30,-8.0,7.333333333333333,63.800000000000004,,7.03,,90456.66666666667,106766.66666666667,,,,922.797,,,0.38825728809446775,15.31,33.004839999999994,11.3270795,392.28125,20.41,795.0,20844.0,0.0,0.5000037230721199
1980-09-30,-0.5,7.666666666666667,63.699999999999996,,7.233333333333333,,90050.66666666667,107120.66666666667,,,,956.08,,,0.38825728809446775,15.31,33.004839999999994,11.3270795,392.28125,20.41,795.0,20844.0,0.0,0.5000037107685414
1980-12-31,7.7,7.3999999999999995,63.699999999999996,,7.456666666666666,,90726.66666666667,107441.66666666667,,,,970.564,,,0.38825728809446775,15.31,33.004839999999994,11.3270795,392.28125,20.41,795.0,20844.0,0.0,0.500003699681998
1981-03-31,8.1,7.433333333333334,63.96666666666666,,7.626666666666666,,91116.0,108273.66666666667,,,,1022.594,,,0.38825728809446775,15.76,33.004839999999994,11.3270795,392.28125,18.942,728.9,16908.4,3.0,0.5000033660077396
