,gdp_billions,unemployment_rate_pct,lfpr_pct,avg_hourly_earnings_nominal,avg_hourly_earnings_real,job_openings_thousands,total_nonfarm_employment,civilian_labor_force_thousands,wage_p10,wage_p50,wage_p90,fed_tax_revenue_pct_gdp,wage_growth_yoy,labor_market_tightness,gini_coefficient,avg_federal_tax_rate_pct,redist_eitc,redist_snap,redist_medicaid,redist_ui,workers_affected,days_idle,civil_unrest_events,protest_intensity_score
1981-09-30,3260.609,7.3999999999999995,63.699999999999996,,7.963333333333334,,91547.66666666667,108525.0,,,,1063.556,,,0.354882944136,15.76,1.912,11.3270795,25.0,18.942,728.9,16908.4,3.0,0.12862400810887029
1981-12-31,3280.818,8.233333333333334,63.76666666666667,,8.076666666666666,,91148.66666666667,109057.33333333333,,,,1102.243,,,0.354882944136,15.76,1.912,11.3270795,25.0,18.942,728.9,16908.4,3.0,0.1281004265755951
1982-03-31,3274.302,8.833333333333334,63.76666666666667,,8.236666666666666,,90520.66666666667,109374.33333333333,,,,1122.585,,,0.36661035425,14.72,1.775,11.3270795,25.0,27.647,655.8,9061.2,1.0,0.0966524726131241
1982-06-30,3331.972,9.433333333333334,64.0,,8.326666666666666,,90040.66666666667,110117.33333333333,,,,1150.143,,,0.36661035425,14.72,1.775,11.3270795,25.0,27.647,655.8,9061.2,1.0,0.09600937347423276
1982-09-30,3366.322,9.9,64.06666666666666,,8.426666666666668,,89355.66666666667,110525.66666666667,,,,1185.946,,,0.36661035425,14.72,1.775,11.3270795,25.0,27.647,655.8,9061.2,1.0,0.09565830271721727
1982-12-31,3402.561,10.666666666666666,64.13333333333333,,8.463333333333333,,88821.33333333333,110959.0,,,,1222.288,,,0.36661035425,14.72,1.775,11.3270795,25.0,27.647,655.8,9061.2,1.0,0.09528754947237973
1983-03-31,3473.413,10.366666666666667,63.800000000000004,,8.566666666666666,,88999.0,110638.66666666667,,,,1245.639,,,0.372927335947,13.79,1.795,11.3270795,25.0,28.845,909.4,17460.7,5.0,0.14189255554605054
1983-06-30,3578.848,10.133333333333333,63.93333333333334,,8.636666666666667,,89676.33333333333,111167.66666666667,,,,1255.643,,,0.372927335947,13.79,1.795,11.3270795,25.0,28.845,909.4,17460.7,5.0,0.14137393920800828
1983-09-30,3689.179,9.366666666666667,64.23333333333333,,8.726666666666667,,90604.33333333333,112095.0,,,,1289.036,,,0.372927335947,13.79,1.795,11.3270795,25.0,28.845,909.4,17460.7,5.0,0.14047201106215115
1983-12-31,3794.706,8.533333333333333,64.06666666666666,,8.836666666666666,,91875.0,112160.33333333333,,,,1299.51,,,0.372927335947,13.79,1.795,11.3270795,25.0,28.845,909.4,17460.7,5.0,0.14040881019107426
1984-03-31,3908.054,7.866666666666667,64.03333333333333,,8.93,,93086.33333333333,112512.33333333333,1329.0,5005.0,24275.0,1320.756,,,0.37345325937,13.68,1.638,11.3270795,25.0,18.384,376.0,8498.8,5.0,0.05958066659926436
1984-06-30,4009.601,7.433333333333334,64.46666666666665,,9.0,,94123.0,113521.33333333333,1329.0,5005.0,24275.0,1349.946,,,0.37345325937,13.68,1.638,11.3270795,25.0,18.384,376.0,8498.8,5.0,0.05880325295315838
1984-09-30,4084.25,7.433333333333334,64.46666666666667,,9.086666666666666,,95055.0,113837.0,1329.0,5005.0,24275.0,1380.135,,,0.37345325937,13.68,1.638,11.3270795,25.0,18.384,376.0,8498.8,5.0,0.0585619499308672
1984-12-31,4148.551,7.3,64.5,,9.186666666666667,,95906.0,114256.66666666667,1329.0,5005.0,24275.0,1423.836,,,0.37345325937,13.68,1.638,11.3270795,25.0,18.384,376.0,8498.8,5.0,0.05824254169786816
